iter	MAE
0	1.675875234
1	1.594618086
2	1.357335999
3	1.280595434
4	1.124997643
5	1.003538773
6	0.9240348316
7	0.8435676569
8	0.7864637219
9	0.7386344121
10	0.693421871
11	0.6933230307
12	0.6595995842
13	0.647324785
14	0.6192775694
15	0.5857850253
16	0.5410358634
17	0.5318244736
18	0.5014718815
19	0.4929109517
20	0.4788284442
21	0.4503734589
22	0.4306573578
23	0.419150458
24	0.4064905254
25	0.386036771
26	0.3742372744
27	0.3672509776
28	0.3529417325
29	0.3346923672
30	0.3233750368
31	0.3065349859
32	0.3064952927
33	0.2869012609
34	0.2707450219
35	0.2595762096
36	0.2458259283
37	0.2331419519
38	0.2260818277
39	0.2180194737
40	0.2081957353
41	0.2021839005
42	0.1934613083
43	0.1896439427
44	0.1841287544
45	0.182457313
46	0.1802703701
47	0.1765722173
48	0.1732452876
49	0.168737992
