iter	MAE
0	6.796418383
1	6.631382781
2	6.480869523
3	6.357688161
4	6.231791479
5	6.121271653
6	6.003361621
7	5.919271762
8	5.840538359
9	5.753602967
10	5.670461515
11	5.605320691
12	5.538837338
13	5.498531372
14	5.443404728
15	5.390691869
16	5.328441856
17	5.292579028
18	5.242513941
19	5.198960975
20	5.163595334
21	5.127410652
22	5.093624452
23	5.058741406
24	5.033402096
25	5.006796578
26	4.970803218
27	4.951257023
28	4.92302322
29	4.902160015
30	4.889103579
31	4.862140666
32	4.846012407
33	4.825187301
34	4.800418939
35	4.781705476
36	4.764729925
37	4.752020315
38	4.735998883
39	4.721036642
40	4.704652087
41	4.69034467
42	4.679483921
43	4.673085205
44	4.658847791
45	4.645645254
46	4.639256839
47	4.619916222
48	4.605367347
49	4.59628565
50	4.589997769
51	4.585053367
52	4.578612599
53	4.574748389
54	4.56426076
55	4.555650798
56	4.543015222
57	4.534812909
58	4.526484111
59	4.516430703
60	4.511150033
61	4.502903139
62	4.487678717
63	4.478997065
64	4.474936555
65	4.46374581
66	4.454262001
67	4.440904071
68	4.440266545
69	4.43058722
70	4.420311582
71	4.41326386
72	4.407861238
73	4.401244313
74	4.39766269
75	4.390765429
76	4.386123081
77	4.376760943
78	4.369802425
79	4.360970848
80	4.354204809
81	4.350619407
82	4.346704323
83	4.339827494
84	4.334448341
85	4.323144133
86	4.3179936
87	4.312700811
88	4.298924232
89	4.295551831
90	4.289993667
91	4.287674069
92	4.285344768
93	4.281422968
94	4.272959379
95	4.269271603
96	4.265653476
97	4.261124343
98	4.255628411
99	4.251368159
100	4.245506288
101	4.241594014
102	4.236520112
103	4.231212786
104	4.227872241
105	4.221867491
106	4.214215195
107	4.212178689
108	4.209257123
109	4.205248639
110	4.201690251
111	4.198937311
112	4.195509234
113	4.189873262
114	4.18193801
115	4.176493967
116	4.173464127
117	4.166000173
118	4.161137135
119	4.156568225
120	4.154792729
121	4.149364655
122	4.140740722
123	4.134116971
124	4.130417249
125	4.128050908
126	4.125748393
127	4.121833633
128	4.116322722
129	4.108897776
130	4.101927632
131	4.099879891
132	4.098410769
133	4.095381268
134	4.091560206
135	4.088072155
136	4.085547272
137	4.081834154
138	4.077396382
139	4.069265472
140	4.067981212
141	4.064322287
142	4.060096905
143	4.056858577
144	4.053945766
145	4.048925883
146	4.043499653
147	4.040855877
148	4.036331293
149	4.033599905
150	4.031811455
151	4.027993189
152	4.022247433
153	4.020649035
154	4.015519879
155	4.013937839
156	4.009148232
157	4.006583144
158	4.004282861
159	4.00207333
160	3.998153855
161	3.995605315
162	3.991098937
163	3.988893922
164	3.987295782
165	3.980288063
166	3.977564808
167	3.971186536
168	3.968640635
169	3.964987226
170	3.959561325
171	3.956546994
172	3.952572402
173	3.950844905
174	3.949569841
175	3.945838119
176	3.942040752
177	3.937599766
178	3.93237308
179	3.929339209
180	3.925528759
181	3.922420925
182	3.916199589
183	3.912550019
184	3.907736384
185	3.900464861
186	3.893919169
187	3.889654491
188	3.886467695
189	3.882928055
190	3.878800064
191	3.874525917
192	3.870932125
193	3.867306367
194	3.864221061
195	3.85941062
196	3.856962094
197	3.850902426
198	3.840566336
199	3.838588266
200	3.835857851
201	3.83098953
202	3.826698133
203	3.823777297
204	3.819381006
205	3.816219742
206	3.810935128
207	3.808207856
208	3.805711789
209	3.800910227
210	3.790618428
211	3.783424124
212	3.781075722
213	3.777776467
214	3.774265526
215	3.771412074
216	3.765710829
217	3.763964907
218	3.761564715
219	3.759274017
220	3.75544936
221	3.74827192
222	3.745573578
223	3.739443603
224	3.733803639
225	3.730184362
226	3.725711735
227	3.722323396
228	3.719695643
229	3.717237195
230	3.715816807
231	3.71131485
232	3.709239073
233	3.706646461
234	3.702843234
235	3.700083656
236	3.696001725
237	3.692262208
238	3.69010004
239	3.687614639
240	3.686548785
241	3.684546565
242	3.68237527
243	3.674991071
244	3.6675944
245	3.663317681
246	3.658619336
247	3.656405801
248	3.652419337
249	3.649414858
250	3.645781682
251	3.636299004
252	3.632795496
253	3.628146993
254	3.626923113
255	3.616337048
256	3.613850717
257	3.609177828
258	3.60571258
259	3.602242621
260	3.599484126
261	3.596405892
262	3.592252537
263	3.5899435
264	3.588118817
265	3.58685266
266	3.584265474
267	3.582771227
268	3.579120993
269	3.575467668
270	3.573610698
271	3.570753481
272	3.564562372
273	3.561946323
274	3.559021672
275	3.555575287
276	3.551963095
277	3.54097548
278	3.538603515
279	3.536278582
280	3.53340096
281	3.525303485
282	3.522661047
283	3.520380617
284	3.51903063
285	3.515396505
286	3.509708665
287	3.50676199
288	3.50521138
289	3.50094133
290	3.498277104
291	3.495781068
292	3.49054091
293	3.488536878
294	3.485368915
295	3.483697565
296	3.482035629
297	3.480452288
298	3.477313295
299	3.474492576
300	3.469764225
301	3.468950765
302	3.464830205
303	3.460418899
304	3.456780344
305	3.453028028
306	3.451317886
307	3.450083586
308	3.4481855
309	3.446420599
310	3.445129909
311	3.442024359
312	3.439674187
313	3.436952248
314	3.434903319
315	3.433511567
316	3.431748444
317	3.425170818
318	3.423910368
319	3.420299887
320	3.417576856
321	3.412436016
322	3.4049537
323	3.402598251
324	3.399907908
325	3.398343449
326	3.396982611
327	3.393653982
328	3.392020074
329	3.388416083
330	3.385582093
331	3.383084641
332	3.378980156
333	3.377386982
334	3.375269532
335	3.373745021
336	3.37243532
337	3.370076465
338	3.368017938
339	3.366777163
340	3.364407712
341	3.361052004
342	3.357935746
343	3.357248661
344	3.356411302
345	3.352720069
346	3.349941744
347	3.347374511
348	3.345445989
349	3.343551173
350	3.341280265
351	3.340127142
352	3.336886182
353	3.33538533
354	3.331500777
355	3.327532483
356	3.326483344
357	3.323385242
358	3.321926903
359	3.317997144
360	3.314635136
361	3.312924985
362	3.310657903
363	3.308425958
364	3.307435584
365	3.304648271
366	3.302729015
367	3.300375649
368	3.298756389
369	3.297062791
370	3.295120754
371	3.2942735
372	3.292124386
373	3.288268252
374	3.287184793
375	3.282974485
376	3.280937044
377	3.2753001
378	3.274165419
379	3.271607457
380	3.268491043
381	3.265497985
382	3.26495308
383	3.262009695
384	3.259711112
385	3.257673198
386	3.256279656
387	3.255278871
388	3.253285784
389	3.252151366
390	3.249841214
391	3.248712452
392	3.246221645
393	3.242246987
394	3.239275076
395	3.237719636
396	3.236950906
397	3.235456996
398	3.231806615
399	3.228559932
400	3.225245751
401	3.222870258
402	3.219339331
403	3.216632912
404	3.213031035
405	3.209563125
406	3.208011671
407	3.205416362
408	3.204407891
409	3.201859606
410	3.198298554
411	3.195862648
412	3.190200119
413	3.187912846
414	3.186224677
415	3.182178406
416	3.18088315
417	3.18000728
418	3.177360322
419	3.175538578
420	3.173347541
421	3.169370864
422	3.16806955
423	3.166855696
424	3.165771662
425	3.164048013
426	3.163586155
427	3.158527593
428	3.156307008
429	3.155740677
430	3.15205119
431	3.15062883
432	3.149093836
433	3.148002889
434	3.145901229
435	3.144218996
436	3.141779452
437	3.139749574
438	3.138955078
439	3.1362507
440	3.134975545
441	3.132731452
442	3.129618599
443	3.127850069
444	3.126745036
445	3.126273104
446	3.125378061
447	3.124304074
448	3.122847127
449	3.119636445
450	3.117766707
451	3.11505353
452	3.111884726
453	3.109974251
454	3.108859099
455	3.106232548
456	3.104551335
457	3.102732309
458	3.101487
459	3.100361804
460	3.095901859
461	3.094410482
462	3.092574196
463	3.090739774
464	3.086856556
465	3.085974048
466	3.085645487
467	3.084852747
468	3.083524186
469	3.081496454
470	3.080145324
471	3.078380541
472	3.077859848
473	3.077166209
