iter	Passed	Remaining
0	11	3568
1	23	3530
2	33	3340
3	43	3242
4	54	3243
5	66	3251
6	76	3222
7	87	3208
8	98	3186
9	109	3167
10	120	3158
11	131	3147
12	142	3143
13	152	3118
14	163	3103
15	173	3088
16	184	3067
17	194	3039
18	204	3027
19	215	3022
20	226	3006
21	237	2997
22	247	2979
23	258	2972
24	269	2966
25	280	2958
26	291	2942
27	302	2933
28	312	2923
29	324	2919
30	334	2906
31	345	2894
32	356	2885
33	367	2873
34	378	2868
35	389	2855
36	401	2852
37	413	2850
38	424	2839
39	436	2834
40	448	2830
41	460	2826
42	470	2813
43	480	2795
44	490	2779
45	501	2770
46	511	2755
47	521	2739
48	531	2723
49	542	2714
50	553	2701
51	563	2688
52	574	2675
53	584	2663
54	595	2652
55	605	2639
56	615	2624
57	626	2613
58	637	2603
59	648	2595
60	659	2582
61	669	2568
62	679	2557
63	690	2546
64	701	2535
65	711	2523
66	721	2509
67	732	2499
68	742	2486
69	752	2474
70	763	2464
71	774	2451
72	785	2441
73	795	2430
74	806	2419
75	817	2410
76	828	2400
77	840	2391
78	850	2378
79	860	2366
80	870	2354
81	881	2343
82	892	2332
83	902	2320
84	912	2308
85	923	2297
86	934	2288
87	945	2276
88	955	2266
89	966	2255
90	979	2248
91	990	2240
92	1002	2230
93	1014	2222
94	1024	2210
95	1034	2198
96	1045	2187
97	1056	2176
98	1066	2164
99	1076	2152
100	1087	2142
101	1098	2132
102	1109	2121
103	1119	2110
104	1130	2099
105	1140	2087
106	1150	2075
107	1160	2063
108	1170	2051
109	1180	2039
110	1191	2028
111	1200	2015
112	1211	2004
113	1221	1992
114	1231	1981
115	1242	1970
116	1252	1958
117	1263	1948
118	1273	1937
119	1283	1925
120	1294	1914
121	1304	1903
122	1315	1892
123	1325	1881
124	1336	1871
125	1347	1860
126	1358	1850
127	1369	1840
128	1378	1827
129	1387	1814
130	1399	1804
131	1409	1793
132	1418	1781
133	1429	1770
134	1439	1759
135	1450	1748
136	1460	1737
137	1470	1725
138	1480	1714
139	1492	1706
140	1503	1695
141	1514	1684
142	1524	1673
143	1535	1663
144	1546	1652
145	1556	1641
146	1566	1630
147	1577	1619
148	1588	1609
149	1599	1599
150	1609	1588
151	1619	1577
152	1630	1566
153	1642	1556
154	1653	1546
155	1663	1535
156	1673	1524
157	1684	1513
158	1695	1503
159	1706	1493
160	1716	1482
161	1727	1471
162	1738	1461
163	1749	1451
164	1760	1440
165	1770	1429
166	1781	1419
167	1793	1408
168	1803	1398
169	1813	1387
170	1823	1375
171	1840	1369
172	1855	1361
173	1865	1350
174	1877	1340
175	1888	1330
176	1899	1319
177	1910	1309
178	1920	1297
179	1930	1287
180	1941	1276
181	1951	1265
182	1961	1254
183	1972	1243
184	1982	1232
185	1993	1221
186	2003	1210
187	2012	1199
188	2024	1188
189	2035	1178
190	2046	1167
191	2056	1156
192	2067	1146
193	2078	1135
194	2088	1124
195	2098	1113
196	2107	1102
197	2118	1091
198	2129	1080
199	2139	1069
200	2150	1059
201	2161	1048
202	2171	1037
203	2182	1027
204	2192	1016
205	2203	1005
206	2214	994
207	2226	984
208	2235	973
209	2245	962
210	2256	951
211	2266	940
212	2276	929
213	2286	918
214	2297	908
215	2307	897
216	2317	886
217	2328	875
218	2339	865
219	2350	854
220	2362	844
221	2372	833
222	2381	822
223	2392	811
224	2403	801
225	2414	790
226	2424	779
227	2435	768
228	2446	758
229	2459	748
230	2469	737
231	2480	726
232	2490	716
233	2500	705
234	2511	694
235	2521	683
236	2531	672
237	2542	662
238	2552	651
239	2562	640
240	2572	629
241	2583	619
242	2594	608
243	2605	598
244	2616	587
245	2626	576
246	2637	565
247	2648	555
248	2659	544
249	2669	533
250	2679	523
251	2690	512
252	2701	501
253	2711	491
254	2721	480
255	2731	469
256	2743	458
257	2755	448
258	2764	437
259	2775	426
260	2786	416
261	2797	405
262	2807	394
263	2817	384
264	2828	373
265	2839	362
266	2850	352
267	2860	341
268	2870	330
269	2881	320
270	2891	309
271	2902	298
272	2912	288
273	2923	277
274	2934	266
275	2944	256
276	2954	245
277	2964	234
278	2975	223
279	2987	213
280	2998	202
281	3008	192
282	3019	181
283	3030	170
284	3040	160
285	3050	149
286	3060	138
287	3070	127
288	3081	117
289	3091	106
290	3101	95
291	3112	85
292	3122	74
293	3132	63
294	3143	53
295	3154	42
296	3165	31
297	3176	21
298	3185	10
299	3196	0
